trade_date,Iran_entropy,Crypto_entropy,Macro_entropy,Geopolitical_entropy,Energy_entropy,Pandemic_entropy,composite_entropy,inv_composite_entropy,inv_Geopolitical_entropy,inv_Crypto_entropy,inv_Macro_entropy,inv_Energy_entropy,inv_Iran_entropy
2023-06-22,,,,0.6673438446484853,,,0.6673438446484853,0.3326561553515147,0.3326561553515147,,,,
2023-06-23,,,,0.6374953130213048,,,0.6374953130213048,0.3625046869786952,0.3625046869786952,,,,
2023-06-24,,,,0.5743459628375251,,,0.5743459628375251,0.42565403716247485,0.42565403716247485,,,,
2023-06-25,,,,0.29612820589114713,,,0.29612820589114713,0.7038717941088528,0.7038717941088528,,,,
2023-06-26,,,,0.24323865713460163,,,0.24323865713460163,0.7567613428653983,0.7567613428653983,,,,
2023-06-27,,,,0.4179374318699503,,,0.4179374318699503,0.5820625681300498,0.5820625681300498,,,,
2023-06-28,,,,0.20376873288429032,,,0.20376873288429032,0.7962312671157097,0.7962312671157097,,,,
2023-06-29,,,,0.25435337302941946,,,0.25435337302941946,0.7456466269705806,0.7456466269705806,,,,
2023-06-30,,,,0.13539482284397503,,,0.13539482284397503,0.864605177156025,0.864605177156025,,,,
2023-07-01,,,,0.3408637599271509,,,0.3408637599271509,0.6591362400728491,0.6591362400728491,,,,
2023-07-02,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,
2023-07-07,,,,0.2719865136801215,,,0.2719865136801215,0.7280134863198785,0.7280134863198785,,,,
2023-07-08,,,,,,,,,,,,,
2023-07-09,,,,,,,,,,,,,
2023-07-10,,,,0.6099121910616226,,,0.6099121910616226,0.39008780893837736,0.39008780893837736,,,,
2023-07-11,,,,0.2683253054190439,,,0.2683253054190439,0.731674694580956,0.731674694580956,,,,
2023-07-12,,,,,,,,,,,,,
2023-07-13,,,,0.4420886614879669,,,0.4420886614879669,0.5579113385120331,0.5579113385120331,,,,
2023-07-14,,0.16058885835178063,,0.6534375721681265,,,0.40701321525995354,0.5929867847400465,0.3465624278318735,0.8394111416482194,,,
2023-07-15,,,,0.7646776417964727,,,0.7646776417964727,0.23532235820352732,0.23532235820352732,,,,
2023-07-16,,0.40248564149473137,,,,,0.40248564149473137,0.5975143585052687,,0.5975143585052687,,,
2023-07-17,,0.25147917165535516,,0.4746546348004228,,,0.363066903227889,0.636933096772111,0.5253453651995772,0.7485208283446448,,,
2023-07-18,,,,,,,,,,,,,
2023-07-19,,0.3344745673738015,,0.39417227267621024,,,0.36432342002500584,0.6356765799749942,0.6058277273237898,0.6655254326261986,,,
2023-07-20,,,,0.38370611980382757,,,0.38370611980382757,0.6162938801961724,0.6162938801961724,,,,
2023-07-21,,0.8104413770373569,,0.45989988714235874,,,0.6351706320898578,0.3648293679101422,0.5401001128576413,0.18955862296264314,,,
2023-07-22,,,,0.43650918237236314,,,0.43650918237236314,0.5634908176276369,0.5634908176276369,,,,
2023-07-23,,,,0.313082822641768,,,0.313082822641768,0.686917177358232,0.686917177358232,,,,
2023-07-24,,,,0.44395050454649043,,,0.44395050454649043,0.5560494954535096,0.5560494954535096,,,,
2023-07-25,,,,,,,,,,,,,
2023-07-26,,,,,,,,,,,,,
2023-07-27,,,,,,,,,,,,,
2023-07-28,,,,0.23011634396445918,,,0.23011634396445918,0.7698836560355409,0.7698836560355409,,,,
2023-07-29,,,,,,,,,,,,,
2023-07-30,,,,0.3059322321973505,,,0.3059322321973505,0.6940677678026494,0.6940677678026494,,,,
2023-07-31,,,,0.4289512146207127,,,0.4289512146207127,0.5710487853792874,0.5710487853792874,,,,
2023-08-01,,,,0.331699166312131,,,0.331699166312131,0.6683008336878691,0.6683008336878691,,,,
2023-08-02,,,,0.4055882945936209,,,0.4055882945936209,0.5944117054063791,0.5944117054063791,,,,
2023-08-03,,,,0.42279094398073863,,,0.42279094398073863,0.5772090560192613,0.5772090560192613,,,,
2023-08-04,,,,0.2573422339920294,,,0.2573422339920294,0.7426577660079706,0.7426577660079706,,,,
2023-08-05,,,,,,,,,,,,,
2023-08-06,,,,0.4078312269638747,,,0.4078312269638747,0.5921687730361254,0.5921687730361254,,,,
2023-08-07,,,,,,,,,,,,,
2023-08-08,,,,0.5278735038714293,,,0.5278735038714293,0.4721264961285707,0.4721264961285707,,,,
2023-08-09,,,,0.5329275450358917,,,0.5329275450358917,0.4670724549641083,0.4670724549641083,,,,
2023-08-10,,0.837203124656725,,,,,0.837203124656725,0.16279687534327503,,0.16279687534327503,,,
2023-08-11,,0.5935662441004244,,,,,0.5935662441004244,0.40643375589957564,,0.40643375589957564,,,
2023-08-12,,0.5396498013270047,,0.3095911018900722,,,0.42462045160853845,0.5753795483914615,0.6904088981099278,0.4603501986729953,,,
2023-08-13,,,,0.39897124719975174,,,0.39897124719975174,0.6010287528002483,0.6010287528002483,,,,
2023-08-14,,,,0.39028838388935666,,,0.39028838388935666,0.6097116161106433,0.6097116161106433,,,,
2023-08-15,,0.9508859733481102,,0.5620880071161356,,,0.756486990232123,0.24351300976787704,0.4379119928838644,0.0491140266518898,,,
2023-08-16,,0.8171048263145925,,,,,0.8171048263145925,0.18289517368540753,,0.18289517368540753,,,
2023-08-17,,,,0.41378939411626653,,,0.41378939411626653,0.5862106058837335,0.5862106058837335,,,,
2023-08-18,,0.6744212811514779,,,,,0.6744212811514779,0.3255787188485221,,0.3255787188485221,,,
2023-08-19,,,,,,,,,,,,,
2023-08-20,,0.39947155106218374,,0.3594180528948413,,,0.3794448019785125,0.6205551980214875,0.6405819471051587,0.6005284489378162,,,
2023-08-21,,,,0.29631773763904323,,,0.29631773763904323,0.7036822623609568,0.7036822623609568,,,,
2023-08-22,,,,0.1533404381175227,,,0.1533404381175227,0.8466595618824773,0.8466595618824773,,,,
2023-08-23,,0.6447439282907166,,0.2583350202718052,,,0.4515394742812609,0.5484605257187392,0.7416649797281948,0.3552560717092834,,,
2023-08-24,,0.5809250185499897,,,,,0.5809250185499897,0.4190749814500103,,0.4190749814500103,,,
2023-08-25,,0.3521721584246067,,0.36271645730013763,,,0.35744430786237213,0.6425556921376279,0.6372835426998624,0.6478278415753933,,,
2023-08-26,,,,0.400480912255382,,,0.400480912255382,0.5995190877446179,0.5995190877446179,,,,
2023-08-27,,,,,,,,,,,,,
2023-08-28,,,,0.20338274240750268,,,0.20338274240750268,0.7966172575924974,0.7966172575924974,,,,
2023-08-29,,0.6541113489546225,,0.396485245119162,,,0.5252982970368922,0.47470170296310776,0.603514754880838,0.34588865104537747,,,
2023-08-30,,0.332271339673921,,,,,0.332271339673921,0.667728660326079,,0.667728660326079,,,
2023-08-31,,,,,,,,,,,,,
2023-09-01,,0.7526280026187129,,0.2965946954041849,,,0.5246113490114489,0.4753886509885511,0.7034053045958151,0.24737199738128712,,,
2023-09-02,,,,,,,,,,,,,
2023-09-03,,,,,,,,,,,,,
2023-09-04,,,,0.3087873057601135,,,0.3087873057601135,0.6912126942398865,0.6912126942398865,,,,
2023-09-05,,,,,,,,,,,,,
2023-09-06,,,,0.5061885148457076,,,0.5061885148457076,0.4938114851542924,0.4938114851542924,,,,
2023-09-07,,0.5771551879168237,,,,,0.5771551879168237,0.42284481208317626,,0.42284481208317626,,,
2023-09-08,,,,0.3295449891052847,,,0.3295449891052847,0.6704550108947154,0.6704550108947154,,,,
2023-09-09,,,,,,,,,,,,,
2023-09-10,,,,,,,,,,,,,
2023-09-11,,,,,,,,,,,,,
2023-09-12,,,,,,,,,,,,,
2023-09-13,,,,,,,,,,,,,
2023-09-14,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,,,,
2023-09-16,,,,,,,,,,,,,
2023-09-17,,,,,,,,,,,,,
2023-09-18,,,,,,,,,,,,,
2023-09-19,,,,0.9701560964225182,,,0.9701560964225182,0.02984390357748179,0.02984390357748179,,,,
2023-09-20,,,,0.469906983656588,,,0.469906983656588,0.530093016343412,0.530093016343412,,,,
2023-09-21,,,,0.20678446754363303,,,0.20678446754363303,0.793215532456367,0.793215532456367,,,,
2023-09-22,,,,,,,,,,,,,
2023-09-23,,,,,,,,,,,,,
2023-09-24,,,,,,,,,,,,,
2023-09-25,,,,0.5572647015431264,,,0.5572647015431264,0.44273529845687365,0.44273529845687365,,,,
2023-09-26,,0.5742272205900848,,0.6861233571265115,,,0.6301752888582981,0.3698247111417019,0.3138766428734885,0.4257727794099152,,,
2023-09-27,,,,0.5500494408298937,,,0.5500494408298937,0.4499505591701063,0.4499505591701063,,,,
2023-09-28,,0.40041704645183346,,0.7073980073190274,,,0.5539075268854304,0.44609247311456957,0.29260199268097264,0.5995829535481665,,,
2023-09-29,,0.5361175461371703,,,,,0.5361175461371703,0.46388245386282967,,0.46388245386282967,,,
2023-09-30,,,,0.6847629372241255,,,0.6847629372241255,0.3152370627758745,0.3152370627758745,,,,
2023-10-01,,0.23838780015238994,,0.4620538099841908,,,0.3502208050682904,0.6497791949317095,0.5379461900158091,0.7616121998476101,,,
2023-10-02,,0.2951804004156824,,0.45973267044213745,,,0.3774565354289099,0.6225434645710901,0.5402673295578626,0.7048195995843176,,,
2023-10-03,,,,0.2815618462782702,,,0.2815618462782702,0.7184381537217298,0.7184381537217298,,,,
2023-10-04,,,,0.3363807484656081,,,0.3363807484656081,0.6636192515343919,0.6636192515343919,,,,
2023-10-05,,,,,,,,,,,,,
2023-10-06,,,,0.47638655704950655,,,0.47638655704950655,0.5236134429504935,0.5236134429504935,,,,
2023-10-07,,,,0.17490624091139587,,,0.17490624091139587,0.8250937590886042,0.8250937590886042,,,,
2023-10-08,,,,,,,,,,,,,
2023-10-09,,,,0.26037356736039935,,,0.26037356736039935,0.7396264326396007,0.7396264326396007,,,,
2023-10-10,0.5162560640622174,,,0.2582168043915908,,,0.38723643422690407,0.6127635657730959,0.7417831956084092,,,,0.48374393593778264
2023-10-11,,,,0.18536472583060887,,,0.18536472583060887,0.8146352741693912,0.8146352741693912,,,,
2023-10-12,,,,0.23839012944197788,,,0.23839012944197788,0.7616098705580221,0.7616098705580221,,,,
2023-10-13,,,,0.21901681112442142,,,0.21901681112442142,0.7809831888755786,0.7809831888755786,,,,
2023-10-14,,,,0.1917177502886458,,,0.1917177502886458,0.8082822497113542,0.8082822497113542,,,,
2023-10-15,0.42242513874987786,,,0.1478890488895461,,,0.285157093819712,0.714842906180288,0.8521109511104539,,,,0.5775748612501221
2023-10-16,,,,0.23387890043484957,,,0.23387890043484957,0.7661210995651504,0.7661210995651504,,,,
2023-10-17,0.4427350467374525,,,0.13116474055774197,,,0.28694989364759727,0.7130501063524027,0.868835259442258,,,,0.5572649532625475
2023-10-18,0.3869835434691469,,,,,,0.3869835434691469,0.6130164565308531,,,,,0.6130164565308531
2023-10-19,0.44892021051335046,,,,,,0.44892021051335046,0.5510797894866495,,,,,0.5510797894866495
2023-10-20,,,,0.46957391028073464,,,0.46957391028073464,0.5304260897192654,0.5304260897192654,,,,
2023-10-21,0.5171542898214437,,,0.24602260956236352,,,0.38158844969190364,0.6184115503080964,0.7539773904376365,,,,0.48284571017855626
2023-10-22,,,,0.21082252833947612,,,0.21082252833947612,0.7891774716605239,0.7891774716605239,,,,
2023-10-23,,,,0.3193668056915211,,,0.3193668056915211,0.6806331943084789,0.6806331943084789,,,,
2023-10-24,,0.5811636326344854,,0.2192580942906933,,,0.4002108634625894,0.5997891365374106,0.7807419057093067,0.41883636736551455,,,
2023-10-25,,,,0.31666333954896886,,,0.31666333954896886,0.6833366604510311,0.6833366604510311,,,,
2023-10-26,,,,0.5548628080550277,,,0.5548628080550277,0.44513719194497225,0.44513719194497225,,,,
2023-10-27,,,,0.3039456483778747,,,0.3039456483778747,0.6960543516221254,0.6960543516221254,,,,
2023-10-28,,,,,,,,,,,,,
2023-10-29,,,,,,,,,,,,,
2023-10-30,,,,,,,,,,,,,
2023-10-31,,,,0.20671163298810186,,,0.20671163298810186,0.7932883670118982,0.7932883670118982,,,,
2023-11-01,,,,0.7869097015314459,,,0.7869097015314459,0.2130902984685541,0.2130902984685541,,,,
2023-11-02,,,,0.6072001233406168,,,0.6072001233406168,0.3927998766593832,0.3927998766593832,,,,
2023-11-03,0.3295789497319101,,,0.5522977604189734,,,0.44093835507544177,0.5590616449245582,0.4477022395810266,,,,0.6704210502680898
2023-11-04,,,,0.7068120207075783,,,0.7068120207075783,0.2931879792924217,0.2931879792924217,,,,
2023-11-05,,,,0.6763268931936083,,,0.6763268931936083,0.3236731068063917,0.3236731068063917,,,,
2023-11-06,0.24365617149265645,,,0.8103340515538259,,,0.5269951115232412,0.4730048884767588,0.18966594844617413,,,,0.7563438285073436
2023-11-07,,,,0.6843970889577007,,,0.6843970889577007,0.3156029110422993,0.3156029110422993,,,,
2023-11-08,,,,0.14275205421934029,,,0.14275205421934029,0.8572479457806597,0.8572479457806597,,,,
2023-11-09,,,,0.5911126080458656,,,0.5911126080458656,0.40888739195413437,0.40888739195413437,,,,
2023-11-10,,0.8421783524804338,,0.4303311458941086,,,0.6362547491872712,0.3637452508127288,0.5696688541058914,0.15782164751956618,,,
2023-11-11,,,,0.6513662091499547,,,0.6513662091499547,0.3486337908500453,0.3486337908500453,,,,
2023-11-12,,,,,,,,,,,,,
2023-11-13,,,,,,,,,,,,,
2023-11-14,,,,,,,,,,,,,
2023-11-15,,,,,,,,,,,,,
2023-11-16,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,,,,
2023-11-18,,,,,,,,,,,,,
2023-11-19,,,,0.939096473886616,,,0.939096473886616,0.06090352611338401,0.06090352611338401,,,,
2023-11-20,,,,0.4862769625312848,,,0.4862769625312848,0.5137230374687152,0.5137230374687152,,,,
2023-11-21,,,,0.7833414197377134,,,0.7833414197377134,0.21665858026228657,0.21665858026228657,,,,
2023-11-22,,,,0.897043241807959,,,0.897043241807959,0.10295675819204098,0.10295675819204098,,,,
2023-11-23,,,,0.44187364147330577,,,0.44187364147330577,0.5581263585266942,0.5581263585266942,,,,
2023-11-24,,,,0.7987655183401563,,,0.7987655183401563,0.2012344816598437,0.2012344816598437,,,,
2023-11-25,,,,0.8799485513641973,,,0.8799485513641973,0.12005144863580275,0.12005144863580275,,,,
2023-11-26,0.3769365015286932,,,0.5623529823477087,,,0.46964474193820094,0.5303552580617991,0.4376470176522913,,,,0.6230634984713068
2023-11-27,,,,0.8408762960465868,,,0.8408762960465868,0.15912370395341324,0.15912370395341324,,,,
2023-11-28,,,,0.8155466281065797,,,0.8155466281065797,0.18445337189342026,0.18445337189342026,,,,
2023-11-29,,,,,,,,,,,,,
2023-11-30,,,,0.31398957900378804,,,0.31398957900378804,0.6860104209962119,0.6860104209962119,,,,
2023-12-01,0.2275665480303846,0.4555706831375607,,0.6011343168778865,,,0.42809051601527726,0.5719094839847227,0.39886568312211346,0.5444293168624392,,,0.7724334519696154
2023-12-02,,,,0.22765108691421504,,,0.22765108691421504,0.772348913085785,0.772348913085785,,,,
2023-12-03,,0.6474393531027878,,0.6357575944930826,,,0.6415984737979352,0.3584015262020648,0.36424240550691744,0.3525606468972122,,,
2023-12-04,,0.6680839240191746,,0.7093431593030703,,,0.6887135416611225,0.31128645833887747,0.29065684069692965,0.3319160759808254,,,
2023-12-05,,,,0.1799704410097439,,,0.1799704410097439,0.8200295589902561,0.8200295589902561,,,,
2023-12-06,,0.8221031436947703,,0.8333867934769553,,,0.8277449685858629,0.17225503141413712,0.16661320652304468,0.17789685630522967,,,
2023-12-07,,0.7694149533721015,,0.5206811509723333,,,0.6450480521722174,0.3549519478277826,0.47931884902766675,0.23058504662789847,,,
2023-12-08,,0.7543015326796484,,0.42211923955355446,,,0.5882103861166015,0.4117896138833985,0.5778807604464455,0.2456984673203516,,,
2023-12-09,,0.6351047400808676,,0.6290241448430973,,,0.6320644424619825,0.36793555753801754,0.3709758551569027,0.3648952599191324,,,
2023-12-10,,0.6987795319251159,,0.669103853764354,,,0.6839416928447349,0.31605830715526506,0.330896146235646,0.3012204680748841,,,
2023-12-11,,0.7210865073728571,,0.4456509685994006,,,0.5833687379861289,0.41663126201387113,0.5543490314005994,0.27891349262714293,,,
2023-12-12,,0.6819409751761755,,0.5202368845552274,,,0.6010889298657014,0.3989110701342986,0.47976311544477257,0.31805902482382453,,,
2023-12-13,,0.6838059616840796,,0.752038646497009,,,0.7179223040905442,0.28207769590945575,0.24796135350299098,0.3161940383159204,,,
2023-12-14,,0.689337803221925,,0.6601624463925416,,,0.6747501248072333,0.3252498751927667,0.3398375536074584,0.31066219677807505,,,
2023-12-15,,0.6738467956951163,,0.573601153001069,,,0.6237239743480927,0.3762760256519073,0.42639884699893105,0.3261532043048837,,,
2023-12-16,,0.6803425255479826,,0.7058015642643705,,,0.6930720449061765,0.30692795509382353,0.29419843573562954,0.3196574744520174,,,
2023-12-17,,0.6486313399641669,,0.664042186531184,,,0.6563367632476754,0.3436632367523246,0.33595781346881604,0.3513686600358331,,,
2023-12-18,,0.6022508137594544,,0.5728113737815382,,,0.5875310937704963,0.4124689062295037,0.42718862621846176,0.39774918624054556,,,
2023-12-19,,0.6403297947777004,,0.7745322460021213,,,0.7074310203899108,0.2925689796100892,0.22546775399787866,0.35967020522229964,,,
2023-12-20,,0.6090073363768174,,0.7970476878873184,,,0.7030275121320679,0.29697248786793207,0.2029523121126816,0.39099266362318263,,,
2023-12-21,,0.6588945633822894,0.8879457319684537,0.6855122459873056,,,0.7441175137793495,0.25588248622065046,0.31448775401269435,0.34110543661771064,0.11205426803154628,,
2023-12-22,,0.591457265254989,0.46261133927883746,0.5893743312758025,,,0.5478143119365431,0.45218568806345694,0.4106256687241975,0.408542734745011,0.5373886607211625,,
2023-12-23,,0.5079885571659126,,0.6816983958908281,,,0.5948434765283703,0.40515652347162967,0.31830160410917185,0.4920114428340874,,,
2023-12-24,,0.4953236703916147,,0.5744497713407375,,,0.5348867208661761,0.46511327913382394,0.4255502286592625,0.5046763296083854,,,
2023-12-25,,0.5095180452412295,,0.5302019927742231,,,0.5198600190077263,0.48013998099227373,0.4697980072257769,0.49048195475877054,,,
2023-12-26,,0.5467933812380114,,0.8350484102559836,,,0.6909208957469974,0.30907910425300256,0.16495158974401636,0.45320661876198864,,,
2023-12-27,,0.5253854262184633,0.7809452590578689,0.8457167110558946,,,0.7173491321107422,0.28265086788925775,0.15428328894410537,0.4746145737815367,0.21905474094213107,,
2023-12-28,,0.5118398883592274,,0.6472164760907513,,,0.5795281822249894,0.42047181777501064,0.3527835239092487,0.48816011164077255,,,
2023-12-29,,0.6194796338117414,,0.6970831250060455,,,0.6582813794088935,0.34171862059110647,0.3029168749939545,0.3805203661882586,,,
2023-12-30,,0.5156459054660162,,0.638343738086276,,,0.576994821776146,0.423005178223854,0.361656261913724,0.4843540945339838,,,
2023-12-31,,0.4793718041815651,,0.3543103653496091,,,0.4168410847655871,0.5831589152344129,0.6456896346503909,0.5206281958184349,,,
2024-01-01,,0.6391610864604267,0.3280112686609698,0.7277780865586417,,,0.5649834805600128,0.4350165194399872,0.27222191344135827,0.3608389135395733,0.6719887313390303,,
2024-01-02,,0.5510550158973232,0.4835949608616485,0.6791598058031814,,,0.5712699275207177,0.4287300724792823,0.32084019419681864,0.4489449841026768,0.5164050391383515,,
2024-01-03,,0.6546512423973738,0.6299347144648261,0.6934249791394254,,,0.6593369786672084,0.3406630213327916,0.30657502086057464,0.3453487576026262,0.3700652855351739,,
2024-01-04,,0.6766267941509881,0.3783857781610151,0.67410272408064,,,0.5763717654642143,0.4236282345357857,0.32589727591936,0.32337320584901186,0.6216142218389848,,
2024-01-05,,0.6970433396686964,0.439376537624175,0.7356169395358987,,,0.6240122722762567,0.37598772772374334,0.2643830604641013,0.30295666033130364,0.560623462375825,,
2024-01-06,,0.6517360928394504,0.4711077051447105,0.7680227848682553,,,0.6302888609508054,0.3697111390491946,0.23197721513174474,0.34826390716054956,0.5288922948552894,,
2024-01-07,,0.6604626663406399,,0.8445386578704929,,,0.7525006621055663,0.24749933789443368,0.15546134212950713,0.3395373336593601,,,
2024-01-08,,0.6391249602528251,,0.8236944917549716,,,0.7314097260038983,0.2685902739961017,0.17630550824502844,0.36087503974717494,,,
2024-01-09,,0.590769159418353,,0.873812594235334,,,0.7322908768268435,0.26770912317315654,0.12618740576466603,0.40923084058164705,,,
2024-01-10,,0.43390152769331314,,0.83506501814555,,,0.6344832729194316,0.36551672708056837,0.16493498185445,0.5660984723066869,,,
2024-01-11,,0.09704373722772318,,0.7578269346592755,,,0.42743533594349936,0.5725646640565006,0.24217306534072447,0.9029562627722768,,,
2024-01-12,,0.3328302260115274,0.31286335473958576,0.8047184604031699,,,0.48347068038476104,0.516529319615239,0.19528153959683014,0.6671697739884725,0.6871366452604142,,
2024-01-13,,0.5531496559794722,0.45302150550719933,0.3562975058968042,,,0.4541562224611586,0.5458437775388414,0.6437024941031958,0.4468503440205278,0.5469784944928007,,
2024-01-14,,0.6568541713489874,,,,,0.6568541713489874,0.3431458286510126,,0.3431458286510126,,,
2024-01-15,,0.5301853285731414,,0.6040217197058105,,,0.567103524139476,0.43289647586052404,0.39597828029418947,0.4698146714268586,,,
2024-01-16,,0.5950765649179462,0.7805428016990622,0.6212902009192656,,,0.6656365225120914,0.3343634774879086,0.37870979908073443,0.40492343508205375,0.2194571983009378,,
2024-01-17,,0.418370973199672,0.7848378978527821,0.48798651360790485,,,0.5637317948867864,0.4362682051132136,0.5120134863920951,0.581629026800328,0.21516210214721787,,
2024-01-18,,0.22452724783648353,0.7918516884911162,0.7257808570252487,,,0.5807199311176161,0.4192800688823839,0.27421914297475125,0.7754727521635165,0.2081483115088838,,
2024-01-19,,0.18818386268651008,0.8837225016930425,0.4358460759563828,,,0.502584146778645,0.49741585322135495,0.5641539240436172,0.8118161373134899,0.11627749830695755,,
2024-01-20,,0.19592321043900088,0.8303158564316626,0.44935566390724696,,,0.4918649102593035,0.5081350897406964,0.5506443360927531,0.8040767895609992,0.1696841435683374,,
2024-01-21,,0.47355297874843555,,0.36338470657157107,,,0.4184688426600033,0.5815311573399967,0.6366152934284289,0.5264470212515644,,,
2024-01-22,,0.5689601049245019,0.4646177794078262,0.4953821272290759,,,0.5096533371871347,0.4903466628128653,0.5046178727709241,0.4310398950754981,0.5353822205921738,,
2024-01-23,,0.5081803639305464,,0.40468302476126866,,,0.4564316943459076,0.5435683056540924,0.5953169752387313,0.49181963606945356,,,
2024-01-24,,0.6336390677290544,,0.21329750908152537,,,0.4234682884052899,0.5765317115947102,0.7867024909184747,0.36636093227094557,,,
2024-01-25,,0.8805320180554407,0.9069429504630758,0.49268819366385896,,,0.7600543873941251,0.23994561260587488,0.507311806336141,0.11946798194455932,0.09305704953692417,,
2024-01-26,,0.542498719330248,,0.5011912665610504,,,0.5218449929456492,0.47815500705435077,0.4988087334389496,0.45750128066975204,,,
2024-01-27,,0.4645754782544621,,0.3886830370687078,,,0.426629257661585,0.573370742338415,0.6113169629312922,0.5354245217455379,,,
2024-01-28,,0.2846238445992931,,0.28161806368618875,,,0.2831209541427409,0.7168790458572591,0.7183819363138113,0.715376155400707,,,
